Seq	Type	Folder	Title	Date Added	Author	Content
1	model	models	Core Design Principles for the Efficacy of Groups	2023-06-03 15:17:11 -0700		"These are eight principles that, when followed, improve the effectiveness of human groups.

And when we use the word ""group,"" I take this to mean a group of humans deriving perceived benefit from a shared set of resources, working towards a common goal, with some unifying identity, and with established means of interaction.

I originally encountered these principles in [David Sloan Wilson][wilson]'s book, *[This View of Life][tvol].* If you'd like another description of these principles that is freely available on the web, you can refer to this [PDF](https://evolution-institute.org/wp-content/uploads/2018/10/Generalizing-the-Core.pdf) of an article originally published in the *Journal of Economic Behavior & Organization*. 

[Elinor Ostrom][lin] won a Nobel Prize for her work in this area. These principles were based -- not on abstract or aspirational ideas about how such groups *should* work, or reasons why they *could not possibly work* -- but on actual observation of the attributes of groups that *actually did work*.

As soon as I read these, I recognized their significance, and the ways in which they supported and mirrored many of the principles of the [Agile software development][agile] movement, with which I was already familiar.  

I believe these principles to be universal and scalable to groups of any size. 

[agile]: https://en.wikipedia.org/wiki/Agile_software_development

[lin]: https://en.wikipedia.org/wiki/Elinor_Ostrom

[tvol]: https://www.penguinrandomhouse.com/books/246844/this-view-of-life-by-david-sloan-wilson/

[wilson]: https://thisviewoflife.com/profile/david-sloan-wilson/

Here, then, are the eight core design principles for the efficacy of groups."
1	element	models	Shared Identity and Purpose	2023-06-03 15:17:11 -0700		"A group should have a strong identity with clearly defined boundaries and a unified sense of purpose. This includes a shared understanding of the team's goals, the boundaries of their resources, and the rights and obligations of being a team member.
"
1	element	models	Proportional Equivalence Between Benefits and Costs	2023-06-03 15:17:11 -0700		"Group members must be fairly rewarded based on their contributions.
"
1	element	models	Fair and Inclusive Decision-Making	2023-06-03 15:17:11 -0700		"Everyone gets a chance to participate in decision-making, and decisions are made in a way recognized by all to be fair. Also, decisions are made at the lowest possible level, both to confer a sense of empowerment, but also to allow decisions to be made based on local circumstances best known and appreciated by the lower-level group.
"
1	element	models	Monitoring of Group Norms	2023-06-03 15:17:11 -0700		"The group must have a way of monitoring the behavior of members and detecting deviations from agreed-upon norms.
"
1	element	models	Graduated Sanctions	2023-06-03 15:17:11 -0700		"When group norms are not followed, then sanctions should be applied, but should be done in a graduated fashion. For example, sanctions might start as friendly pressure from peers, but then may proceed to more serious consequences if negative behavior persists.
"
1	element	models	Fast and Fair Conflict Resolution	2023-06-03 15:17:11 -0700		"When conflicts arise, teams must have a way to resolve them quickly and in a manner seen as fair.
"
1	element	models	Local Autonomy	2023-06-07 16:48:27 -0700		"Groups must have the freedom to conduct their own affairs, without undue external interference.
"
1	element	models	Polycentric Governance	2023-06-03 15:17:11 -0700		"In large organizations that consist of multiple groups, relationships among groups must embody the same principles as the relationships among individuals within each group. This means that the core design principles defined above are scale-independent; that is, principles 1 - 7 apply to every scale of human social organization. 
"
1	model	models	The Cynefin Framework	2023-06-03 15:17:11 -0700		"[[Dave Snowden]]'s [Cynefin framework][cynefin] offers a useful guide to differing approaches that are appropriate for situations with varying degrees of certainty. 

[cynefin]: https://en.wikipedia.org/wiki/Cynefin_framework

The Cynefin framework suggests four different approaches, starting with situations of high certainty, and proceeding to situations with progressively lower degrees of certainty. 

Leaders and decision-makers tend to get into trouble by estimating the degree of certainty in a situation to be higher than it actually is."
1	element	models	Clear Situations	2023-06-03 15:17:11 -0700		"In Clear situations, the appropriate approach is to Sense, Categorize and then Respond, making use of an established best practice. 

In other words, a mechanical or proceduralized response is most appropriate."
1	element	models	Complicated Situations	2023-06-03 15:17:11 -0700		"In Complicated situations, the appropriate approach is to Sense, Analyze and then Respond, making use of expert knowledge. 

In  other words, some serious analysis is required, and the right answer cannot simply be selected from a number of predetermined choices."
1	element	models	Complex Situations	2023-06-03 15:17:11 -0700		"In Complex situations, the recommended approach is to Probe, Sense and then Respond, allowing new knowledge to emerge. 

In other words,  analysis based on existing knowledge is not enough, and some experimentation is called for."
1	element	models	Chaotic Situations	2023-06-03 15:17:11 -0700		"In Chaotic situations, the appropriate approach is to Act, Sense and then Respond, learning and adjusting as you go. 

In other words, something unexpected has happened, you are in crisis mode,  and there is no opportunity for analysis or experimentation -- immediate action is necessary."
