Seq	Type	Folder	Title	Date Added	Author	Content
3	quote	quotes	A law against private jets	2019-04-08 11:54:15 -0700	Abigail Disney	"If I were queen of the world, I would pass a law against private jets, because they enable you to get around a certain reality. You don't have to go through an airport terminal, you don't have to interact, you don't have to be patient, you don't have to be uncomfortable. These are the things that remind us we're human. 
"
3	quote	quotes	The legitimate object of government	2018-07-09 11:46:07 -0700	Abraham Lincoln	"The legitimate object of government, is to do for a community of people, whatever they need to have done, but can not do, at all, or can not, so well do, for themselves -- in their separate, and individual capacities. In all that the people can individually do as well for themselves, government ought not to interfere. The desirable things which the individuals of a people can not do, or can not well do, for themselves, fall into two classes: those which have relation to wrongs, and those which have not. Each of these branch off into an infinite variety of subdivisions. The first -- that in relation to wrongs -- embraces all crimes, misdemeanors, and nonperformance of contracts. The other embraces all which, in its nature, and without wrong, requires combined action, as public roads and highways, public schools, charities, pauperism, orphanage, estates of the deceased, and the machinery of government itself. From this it appears that if all men were just, there still would be some, though not so much, need for government.
"
3	quote	quotes	Discoveries and Inventions	2018-05-27 07:35:51 -0700	Abraham Lincoln	"Beavers build houses; but they build them in nowise differently, or better, now than they did five thousand years ago.... Man is not the only animal who labors; but he is the only one who improves his workmanship. These improvements he effects by Discoveries and Inventions. 
"
3	quote	quotes	The better angels of our nature	2018-10-26 10:24:46 -0700	Abraham Lincoln	"We are not enemies, but friends. We must not be enemies. Though passion may have strained, it must not break our bonds of affection. The mystic chords of memory, stretching from every battlefield and patriot grave to every living heart and hearthstone all over this broad land, will yet swell the chorus of the Union when again touched, as surely they will be, by the better angels of our nature.
"
3	quote	quotes	Labor is the Superior of Capital	2011-12-03 08:28:38 -0800	Abraham Lincoln	"Labor is prior to, and independent of, capital. Capital is only the fruit of labor, and could never have existed if labor had not first existed. Labor is the superior of capital, and deserves much the higher consideration. 
"
3	quote	quotes	Simple things should be simple, complex things should be possible	2022-06-18 12:21:27 -0700	Alan Kay	"Simple things should be simple, complex things should be possible.
"
3	quote	quotes	The best way to predict the future is to invent it	2018-04-24 08:44:31 -0700	Alan Kay	"Don't worry about what anybody else is going to do.... The best way to predict the future is to invent it. Really smart people with reasonable funding can do just about anything that doesn't violate too many of Newton’s Laws.
"
3	quote	quotes	We are idealists and we are realists	2018-04-09 16:34:57 -0700	Alan Lightman	"We are idealists and we are realists. We are dreamers and we are builders. We are experiencers and we are experimenters. We long for certainties, yet we ourselves are full of the ambiguities of the Mona Lisa and the I Ching. We ourselves are a part of the yin-yang of the world.
"
3	quote	quotes	Work, Soul and Life	2008-01-25 08:18:43 -0800	Albert Camus	"Without work, all life goes rotten. But when work is soulless, life stifles and dies.
"
3	quote	quotes	The evil in the world comes almost always from ignorance	2019-06-10 07:27:03 -0700	Albert Camus	"The evil in the world comes almost always from ignorance, and goodwill can cause as much damage as ill-will if it is not enlightened.... There is no true goodness or fine love without the greatest possible degree of clear-sightedness. 
"
3	quote	quotes	An Invincible Summer	2008-08-05 16:02:04 -0700	Albert Camus	"In the depths of winter, I finally learned that within me there lay an invincible summer.
"
3	quote	quotes	Simplicity and Complexity	2006-11-30 14:29:31 -0800	Albert Einstein	"Everything should be made as simple as possible, but no simpler.
"
3	quote	quotes	A Happy Man	2010-08-15 07:52:59 -0700	Albert Einstein	"A happy man is too satisfied with the present to dwell too much on the future.
"
3	quote	quotes	Only a Human Being	2010-08-15 09:16:17 -0700	Albert Einstein	"I am by heritage a Jew, by citizenship a Swiss, and by makeup a human being, and <em>only</em> a human being, without any special attachment to any state or national entity whatsoever.
"
3	quote	quotes	Moral Religion	2010-08-13 18:30:01 -0700	Albert Einstein	"The Jewish scriptures admirably illustrate the development from the religion of fear to moral religion, a development continued in the New Testament. The religions of all civilized peoples, especially the peoples of the Orient, are primarily moral religions. The development from a religion of fear to moral religion is a great step in peoples' lives. And yet, that primitive religions are based entirely on fear and the religions of civilized peoples purely on morality is a prejudice against which we must be on our guard. The truth is that all religions are a varying blend of both types, with this differentiation: that on the higher levels of social life the religion of morality predominates.
"
3	quote	quotes	This Highest Kind of Religious Feeling	2010-08-13 18:22:37 -0700	Albert Einstein	"The beginnings of cosmic religious feeling already appear at an early stage of development, e.g., in many of the Psalms of David and in some of the Prophets. Buddhism, as we have learned especially from the wonderful writings of Schopenhauer, contains a much stronger element of this. The religious geniuses of all ages have been distinguished by this kind of religious feeling, which knows no dogma and no God conceived in man's image; so that there can be no church whose central teachings are based on it. Hence it is precisely among the heretics of every age that we find men who were filled with this highest kind of religious feeling and were in many cases regarded by their contemporaries as atheists, sometimes also as saints.
"
3	quote	quotes	The Supreme Goal of All Theory	2008-07-13 08:55:57 -0700	Albert Einstein	"It can scarcely be denied that the supreme goal of all theory is to make the irreducible basic elements as simple and as few as possible without having to surrender the adequate representation of a single datum of experience.
"
3	quote	quotes	Violent Opposition from Mediocre Minds	2010-10-27 20:15:50 -0700	Albert Einstein	"Great spirits have always encountered violent opposition from mediocre minds. The mediocre mind is incapable of understanding the man who refuses to bow blindly to conventional prejudices and chooses instead to express his opinions courageously and honestly.
"
3	quote	quotes	The Mysterious	2012-11-06 04:07:51 -0800	Albert Einstein	"The most beautiful experience we can have is the mysterious. It is the fundamental emotion that stands at the cradle of true art and true science. Whoever does not know it and can no longer wonder, no longer marvel, is as good as dead, and his eyes are dimmed. It was the experience of mystery -- even if mixed with fear -- that engendered religion. A knowledge of the existence of something we cannot penetrate, our perceptions of the profoundest reason and the most radiant beauty, which only in their most primitive forms are accessible to our minds: it is this knowledge and this emotion that constitute true religiosity. In this sense, and only this sense, I am a deeply religious man.
"
3	quote	quotes	To Give in the Same Measure	2008-07-13 08:59:35 -0700	Albert Einstein	"How strange is the lot of us mortals! Each of us is here for a brief sojourn; for what purpose he knows not, though he sometimes thinks he senses it. But without deeper reflection one knows from daily life that one exists for other people -- first of all for those upon whose smiles and well-being our own happiness is wholly dependent, and then for the many, unknown to us, to whose destinies we are bound by the ties of sympathy. A hundred times every day I remind myself that my inner and outer life are based on the labors of other men, living and dead, and that I must exert myself in order to give in the same measure as I have received and am still receiving....
"
3	quote	quotes	Those who tolerate or encourage evil	2020-11-19 11:11:19 -0800	Albert Einstein	"The world is in greater peril from those who tolerate or encourage evil than from those who actually commit it.
"
3	quote	quotes	The Eternal Struggle for Human Rights	2021-04-18 10:29:16 -0700	Albert Einstein	"The existence and validity of human rights are not written in the stars. The ideals concerning the conduct of men toward each other and the desirable structure of the community have been conceived and taught by enlightened individuals in the course of history. Those ideals and convictions which resulted from historical experience, from the craving for beauty and harmony, have been readily accepted in theory by man -- and at all times, have been trampled upon by the same people under the pressure of their animal instincts. A large part of history is therefore replete with the struggle for those human rights, an eternal struggle in which a final victory can never be won. But to tire in that struggle would mean the ruin of society.
"
3	quote	quotes	A Man of Value	2017-02-15 09:59:53 -0800	Albert Einstein	"Try to become not a man of success, but try rather to become a man of value.
"
3	quote	quotes	Small and Obscure Deeds	2006-11-30 14:29:31 -0800	Albert Schweitzer	"Of all the will toward the ideal in mankind only a small part can manifest itself in public action. All the rest of this force must be content with small and obscure deeds. The sum of these, however, is a thousand times stronger than the acts of those who receive wide public recognition. The latter, compared to the former, are like the foam on the waves of a deep ocean.
"
3	quote	quotes	No person in America should be too poor to live	2018-06-29 08:21:25 -0700	Alexandria Ocasio-Cortez	"For me, democratic socialism is about -- really, the value for me is that I believe that in a modern, moral and wealthy society, no person in America should be too poor to live.
"
3	quote	quotes	The exercise of the intellect	2019-01-03 08:24:58 -0800	Alexis de Tocqueville	"From the time when the exercise of the intellect became a source of strength and of wealth, we see that every addition to science, every fresh truth and every new idea became a germ of power placed within the reach of the people.
"
3	quote	quotes	The Art of Progress	2006-11-30 14:29:31 -0800	Alfred North Whitehead	"The art of progress is to preserve order amid change, and to preserve change amid order.
"
3	quote	quotes	The wonder remains	2017-07-29 17:58:54 -0700	Alfred North Whitehead	"Philosophy begins in wonder. And, at the end, when philosophic thought has done its best, the wonder remains. 
"
3	quote	quotes	Words that are empowered that make your hair stand on end	2020-11-24 20:28:50 -0800	Allen Ginsberg	"Poetry is... words that are empowered that make your hair stand on end... that you recognize instantly as being some form of subjective truth that has an objective reality to it... because somebody's realized it. 
"
3	quote	quotes	The modern horrors of bureaucracy	2020-08-17 07:41:04 -0700	Amanda Cross	"Yet the people here suffered, apparently, from the fact that they were employed not by an educational institution, but by a bureaucratic system. They were all, to a large extent, clerks, neatly bound up in red tape, and, like clerks, they gave themselves the illusion of freedom by discussing and ridiculing the strictures that bound them. Kate thought lovingly of her own university, where one struggled, God knew, against the ancient sins of favoritism, flattery, and simony, but where the modern horrors of bureaucracy had not yet strangled her colleagues or herself. 
"
3	quote	quotes	The sort of organisms that interpret and modify their agency	2021-02-09 08:24:51 -0800	Amélie Rorty	"Humans are just the sort of organisms that interpret and modify their agency through their conception of themselves. This is a complicated biological fact about us.
"
3	quote	quotes	A Coke is a Coke	2012-01-09 17:37:44 -0800	Andy Warhol	"What's great about this country is that America started the tradition where the richest consumers buy essentially the same things as the poorest. You can be watching TV and see Coca-Cola, and you know that the President drinks Coke, Liz Taylor drinks Coke, and just think, you can drink Coke, too. A Coke is a Coke and no amount of money can get you a better Coke than the one the bum on the corner is drinking. All the Cokes are the same and all the Cokes are good. Liz Taylor knows it, the President knows it, the bum knows it, and you know it.
"
3	quote	quotes	The Four-Fold Way	2007-11-06 07:00:58 -0800	Angeles Arrien	"The following four principles, each based on an archetype, comprise what I call the Four-Fold Way: 

1. <em>Show up, or choose to be present.</em> Being present allows us to access the human resources of power, presence, and communication. This is the way of the Warrior. 

2. <em>Pay attention to what has heart and meaning.</em> Paying attention opens us to the human resources of love, gratitude, acknowledgment, and validation. This is the way of the Healer. 

3. <em>Tell the truth without blame or judgment.</em> Nonjudgmental truthfulness maintains our authenticity, and develops our inner vision and intuition. This is the way of the Visionary. 

4. <em>Be open to outcome, not attached to outcome.</em> Openness and nonattachment help us to recover the human resources of wisdom and objectivity. This is the way of the Teacher."
3	quote	quotes	Fuzzy Concept	2011-09-18 20:53:57 -0700	Ansel Adams	"There is nothing worse than a brilliant image of a fuzzy concept.
"
3	quote	quotes	Excitement from Art	2017-04-21 08:41:53 -0700	Anthony Burgess	"The excitement we derive from a work of art is mostly the excitement of seeing connections that did not exist before, of seeing quite different aspects of life unified through a pattern.
"
3	quote	quotes	The Extent of Freedom in All of its Dimensions	2015-07-03 13:47:05 -0700	Anthony M. Kennedy	"The nature of injustice is that we may not always see it in our own times. The generations that wrote and ratified the Bill of Rights and the Fourteenth Amendment did not presume to know the extent of freedom in all of its dimensions, and so they entrusted to future generations a charter protecting the right of all persons to enjoy liberty as we learn its meaning.
"
3	quote	quotes	We shall see the sky sparkling with diamonds	2020-12-23 08:43:31 -0800	Anton Chekhov	"We shall find peace. We shall hear the angels, we shall see the sky sparkling with diamonds.
"
3	quote	quotes	Accidents of birth	2017-02-21 11:18:01 -0800	Anu Partanen	"Today Americans still feel that by and large, every individual is responsible for constructing his or her own fate -- the classic pursuit of happiness -- and there is still much debate in the United States about the extent to which, if at all, an individual's success or failure is also shaped by accidents of birth. Nordic people have long ago moved beyond this debate. To most Nordics it's completely obvious that an accident of birth, like being born into poverty or a neighborhood without a good school, can severely disadvantage an individual and destroy any chances of success, no matter what he or she does. 
"
3	quote	quotes	Independence, freedom and opportunity for every member of society	2017-02-21 10:27:11 -0800	Anu Partanen	"At the same time, the Nordic theory of love has become an overarching philosophy about how to structure a society. As such, it has inspired the broad variety of policy choices in the Nordic nations that together ensure a single, predominant goal: independence, freedom and opportunity for every member of society. 
"
3	quote	quotes	Nordic societies have simply taken the job of government seriously	2017-02-21 11:12:26 -0800	Anu Partanen	"Overall the secret to Nordic success is not complicated. Nordic societies have simply taken the job of government seriously. They make mistakes and have their troubles, but they keep tweaking their systems in search of improvements, and they work hard to balance the books. They prove that there is nothing inherent in government that automatically makes it less efficient for arranging social services than the private sector. 
"
3	quote	quotes	The US remains astonishingly backward when it comes to education	2017-02-21 10:57:26 -0800	Anu Partanen	"It's an unfortunate fact that the United States remains astonishingly backward compared to almost all other advanced Western countries when it comes to education, because in America, what predicts how well a child will do in school is not a child's aptitude or hard work, but the status of the child's parents -- which is to say, their own levels of education and wealth. Other countries suffer from this condition too, but the United States is especially anachronistic. And it's getting worse: The influence of this wealth predictor in the United States today has only been growing stronger in recent years. 
"
3	quote	quotes	You can simply focus on raising a human being	2017-02-21 11:04:03 -0800	Anu Partanen	"Imagine, then, what it's like to be a Nordic parent. You can simply focus on raising a human being, in an age-appropriate way at every stage, without ever once feeling guilty that you're not saving enough money, or not making enough money, to secure them the college education they'll need to avoid ending up in the gutter. 
"
3	quote	quotes	We don't even own suits	2011-08-01 12:36:08 -0700	Apple	"When an AT&amp;T rep suggested Jobs wear a suit to meet with AT&amp;T's CEO, the deputy replied, ""We're Apple. We don't wear suits. We don't even own suits.""
"
3	quote	quotes	Entertain a Thought	2006-11-30 14:29:31 -0800	Aristotle	"It is the mark of an educated mind to be able to entertain a thought without accepting it.
"
3	quote	quotes	A beast or a god	2018-11-08 07:19:45 -0800	Aristotle	"But he who is unable to live in society, or who has no need because he is sufficient for himself, must be either a beast or a god: he is no part of a state. A social instinct is implanted in all men by nature.
"
3	quote	quotes	The welfare of the whole human race	2018-12-06 18:06:16 -0800	Arnold J. Toynbee	"The twentieth century will be chiefly remembered by future generations not as an era of political conflicts or technical inventions, but as an age in which human society dared to think of the welfare of the whole human race as a practical objective. 
"
3	quote	quotes	The Makers of Things	2009-04-02 19:50:16 -0700	Barack Obama	"In reaffirming the greatness of our nation, we understand that greatness is never a given. It must be earned. Our journey has never been one of shortcuts or settling for less. It has not been the path for the faint-hearted -- for those who prefer leisure over work, or seek only the pleasures of riches and fame. Rather, it has been the risk-takers, the doers, the makers of things -- some celebrated but more often men and women obscure in their labor, who have carried us up the long, rugged path towards prosperity and freedom.
"
3	quote	quotes	A Return to These Truths	2009-01-20 20:47:20 -0800	Barack Obama	"Our challenges may be new. The instruments with which we meet them may be new. But those values upon which our success depends -- hard work and honesty, courage and fair play, tolerance and curiosity, loyalty and patriotism -- these things are old. These things are true. They have been the quiet force of progress throughout our history. What is demanded then is a return to these truths.
"
3	quote	quotes	Time is no match for Toni Morrison	2019-08-06 08:24:45 -0700	Barack Obama	"Time is no match for Toni Morrison. In her writing, she sometimes toyed with it, warping and creasing it, bending it to her masterful will. In her life’s story, too, she treated time nontraditionally. A child of the Great Migration who'd lifted up new, more diverse voices in American literature as an editor, Toni's first novel wasn’t published until she was 39 years old. From there followed an ascendant career — a Pulitzer, a Nobel, and so much more — and with it, a fusion of the African American story within the American story. Toni Morrison was a national treasure. Her writing was not just beautiful but meaningful — a challenge to our conscience and a call to greater empathy. She was as good a storyteller, as captivating, in person as she was on the page. And so even as Michelle and I mourn her loss and send our warmest sympathies to her family and friends, we know that her stories — that our stories — will always be with us, and with those who come after, and on and on, for all time.
"
3	quote	quotes	No Perfect Answer	2020-12-18 10:38:01 -0800	Barack Obama	"The higher up you go in politics -- but I think this is true of any organization -- the more you will be confronted with challenges, problems, issues that do not yield a perfect answer.
"
3	quote	quotes	The best thing we can do is treat each other better	2021-06-02 08:28:00 -0700	Barack Obama	"But the point is, I guess, that my politics has always been premised on the notion that the differences we have on this planet are real. They’re profound. And they cause enormous tragedy as well as joy. But we’re just a bunch of humans with doubts and confusion. We do the best we can. And the best thing we can do is treat each other better because we’re all we’ve got. 
"
3	quote	quotes	Immigration is tough, and it always has been	2021-10-25 11:23:14 -0700	Barack Obama	"Immigration is tough. It always has been because, on the one hand, I think we are naturally a people that wants to help others. And we see tragedy and hardship and families that are desperately trying to get here so that their kids are safe, and they're in some cases fleeing violence or catastrophe. At the same time, we're a nation state. We have borders. The idea that we can just have open borders is something that ... as a practical matter, is unsustainable.
"
3	quote	quotes	Freedom of Judgment	2010-07-12 15:10:39 -0700	Baruch Spinoza	"Since we have the rare good fortune to live in a commonwealth where the freedom of judgment is fully granted to the individual citizen and he may worship God as he pleases, and where nothing is esteemed dearer and more precious than freedom, I think I am undertaking no ungrateful or unprofitable task in demonstrating that not only can this freedom be granted without endangering piety and the peace of the commonwealth, but also the peace of the commonwealth and piety depend on this freedom.
"
3	quote	quotes	Notions to Explain Nature	2010-07-12 15:03:19 -0700	Baruch Spinoza	"We see therefore that all the notions whereby the common people are wont to explain Nature are merely modes of imagining and denote not the nature of anything but only the constitution of the imagination.
"
3	quote	quotes	The stagnation of American middle-class living standards	2018-08-03 10:53:08 -0700	Ben Friedman	"I believe that the rising intolerance and incivility and the eroding generosity and openness that have marked important aspects of American society in the recent past have been, in significant part, a consequence of the stagnation of American middle-class living standards.
"
3	quote	quotes	Every Body cries, a Union is absolutely necessary	2010-08-18 07:07:39 -0700	Benjamin Franklin	"Every Body cries, a Union is absolutely necessary, but when they come to the Manner and Form of the Union, their weak Noddles are perfectly distracted.
"
3	quote	quotes	Art is a Hammer	2006-11-30 14:29:31 -0800	Bertolt Brecht	"Art is not a mirror held up to reality, but a hammer with which to shape it.
"
3	quote	quotes	Men Fear Thought	2006-11-30 14:29:31 -0800	Bertrand Russell	"Men fear thought as they fear nothing else on earth -- more than ruin -- more even than death.... Thought is subversive and revolutionary, destructive and terrible, thought is merciless to privilege, established institutions, and comfortable habit. Thought looks into the pit of hell and is not afraid. Thought is great and swift and free, the light of the world, and the chief glory of man.
"
3	quote	quotes	Ten Commandments for Teachers	2012-08-03 23:01:54 -0700	Bertrand Russell	"1. Do not feel absolutely certain of anything. 

2. Do not think it worth while to proceed by concealing evidence, for the evidence is sure to come to light. 

3. Never try to discourage thinking for you are sure to succeed. 

4. When you meet with opposition, even if it should be from your husband or your children, endeavour to overcome it by argument and not by authority, for a victory dependent upon authority is unreal and illusory. 

5. Have no respect for the authority of others, for there are always contrary authorities to be found. 

6. Do not use power to suppress opinions you think pernicious, for if you do the opinions will suppress you. 

7. Do not fear to be eccentric in opinion, for every opinion now accepted was once eccentric. 

8. Find more pleasure in intelligent dissent that in passive agreement, for, if you value intelligence as you should, the former implies a deeper agreement than the latter. 

9. Be scrupulously truthful, even if the truth is inconvenient, for it is more inconvenient when you try to conceal it. 

10. Do not feel envious of the happiness of those who live in a fool's paradise, for only a fool will think that it is happiness."
3	quote	quotes	The Celestial Teapot	2007-09-08 10:21:56 -0700	Bertrand Russell	"Many orthodox people speak as though it were the business of skeptics to disprove received dogmas rather than of dogmatics to prove them. This is, of course, a mistake. If I were to suggest that between the Earth and Mars there is a china teapot revolving about the sun in an elliptical orbit, nobody would be able to disprove my assertion provided I were careful to add that the teapot is too small to be revealed even by our most powerful telescopes. But if I were to go on to say that, since my assertion cannot be disproved, it is intolerable presumption on the part of human reason to doubt it, I should rightly be thought to be talking nonsense. If, however, the existence of such a teapot were affirmed in ancient books, taught as the sacred truth every Sunday, and instilled into the minds of children at school, hesitation to believe in its existence would become a mark of eccentricity and entitle the doubter to the attentions of the psychiatrist in an enlightened age or of the Inquisitor in an earlier time.
"
3	quote	quotes	We must welcome the stranger	2023-01-25 08:57:41 -0800	Bibi Bahrami	"I have always believed in the idea that we must welcome the stranger, the person in need. And that if we search for common ground with all those we meet, we will discover our shared humanity, and we will all be better for it.
"
3	quote	quotes	Digging up fossil fuels and setting them alight	2019-05-07 21:24:11 -0700	Bill McKibben	"For two hundred years, human economic activity has largely consisted of digging up fossil fuels and setting them alight, and while two hundred years seems like a long time to us, in geological terms it’s like a bat out of… well, out of hell. We’re currently injecting carbon dioxide into the atmosphere ten times faster than during the End-Permiasn, which was, just to repeat, the worst event in the earth’s history. 
"
3	quote	quotes	The Human Experiment is Now in Question	2019-04-27 20:51:32 -0700	Bill McKibben	"Put simply, between ecological destruction and technological hubris, the human experiment is now in question. The stakes feel very high, and the odds very long, and the trends very ominous. 
"
