Tag	Tag File Name	Seq	Folder	Title	Author
Design	design.html	3	quotes	A working simple system	John Gall
Management	management.html	3	quotes	Cockpits with Instruments Controlled by Gremlins	Robert D. Austin
Measurement	measurement.html	3	quotes	Cockpits with Instruments Controlled by Gremlins	Robert D. Austin
Murder	murder.html	3	quotes	An Irreplaceable Compact	Edmund Crispin
Project Management	project-management.html	3	quotes	Belief in Impossible Things	Tom DeMarco and Timothy Lister
Software Development.Agility	software-development.agility.html	3	quotes	Rough consensus and running code	David D. Clark
TecFiction	tecfiction.html	3	quotes	An Irreplaceable Compact	Edmund Crispin
US Politics	us-politics.html	3	quotes	Bringing the worldview associated with sports-talk radio to politics	Jim Geraghty
US Politics	us-politics.html	3	quotes	The post-materialist turn in global politics	Ezra Klein
USA	usa.html	3	quotes	A Coke is a Coke	Andy Warhol
USA	usa.html	3	quotes	The Credibility of a Comedian	Jon Stewart
USA	usa.html	3	quotes	The Cult of Ignorance	Isaac Asimov
USA	usa.html	3	quotes	Every Third American	H. L. Mencken
USA	usa.html	3	quotes	The Extent of Freedom in All of its Dimensions	Anthony M. Kennedy
USA	usa.html	3	quotes	Ism-mania	Robert Riskin
USA	usa.html	3	quotes	The Makers of Things	Barack Obama
art	art.html	3	quotes	Art and Spirit	Ken Wilber
art	art.html	3	quotes	Art has to transform life itself	Lawrence Ferlinghetti
art	art.html	3	quotes	Art is a Hammer	Bertolt Brecht
art	art.html	3	quotes	Art is a lie that makes us realize truth	Pablo Picasso
art	art.html	3	quotes	Art presents us with a window into the minds of these people	Genevieve von Petzinger
art	art.html	3	quotes	Art, Science and Empire	William Blake
art	art.html	3	quotes	Cinema was about revelation	Martin Scorsese
art	art.html	3	quotes	Cockpits with Instruments Controlled by Gremlins	Robert D. Austin
art	art.html	3	quotes	Couldn’t everyone’s life become a work of art?	Michel Foucault
art	art.html	3	quotes	Critical Thinking Followed by Action	Dalai Lama
art	art.html	3	quotes	Deeper convictions of the heart	Leonard Cohen
art	art.html	3	quotes	Design is not Appearance	Milton Glaser
art	art.html	3	quotes	The Divine Gift of Purely Nonsensical Speech and Action	Edmund Crispin
art	art.html	3	quotes	The divine literatus	Walt Whitman
art	art.html	3	quotes	Dreams Come True	John Updike
art	art.html	3	quotes	Enemies of Art and Artist	Henry Miller
art	art.html	3	quotes	Excitement from Art	Anthony Burgess
art	art.html	3	quotes	God and Morality	Frans de Waal
art	art.html	3	quotes	History as Postmodern Collage	Joe Boyd
art	art.html	3	quotes	The Inner Life of the Artist	Edward Hopper
art	art.html	3	quotes	Little I recognized as music	Joe Boyd
art	art.html	3	quotes	The Loftiest and Purest Art	Walt Whitman
art	art.html	3	quotes	A Long Conversation	Bruce Springsteen
art	art.html	3	quotes	More Popular than Jesus	John Lennon
art	art.html	3	quotes	The Mysterious	Albert Einstein
art	art.html	3	quotes	Myth-Makers	Kurt Vonnegut
art	art.html	3	quotes	Myths are stronger than anyone could have imagined	Yuval Noah Harari
art	art.html	3	quotes	Never Knew Cocaine to Improve Anything	Joe Boyd
art	art.html	3	quotes	Notation not to be confused with music itself	Winthrop Sargeant
art	art.html	3	quotes	The only sensible procedure for a critic	W. H. Auden
art	art.html	3	quotes	The original naiveté	Henri Matisse
art	art.html	3	quotes	Our Reply to Violence	Leonard Bernstein
art	art.html	3	quotes	The Power of Art	Wynton Marsalis
art	art.html	3	quotes	Questioning one's habitual ways of seeing	Jenny Odell
art	art.html	3	quotes	Records we made together in the sixties	Joe Boyd
art	art.html	3	quotes	The Songs are my Lexicon	Bob Dylan
art	art.html	3	quotes	Start with romance and build to a reality	Ray Bradbury
art	art.html	3	quotes	The Tautness of this Resonant Connection	Herb Bowie
art	art.html	3	quotes	That Magical Honeycomb of Words	Tom Robbins
art	art.html	3	quotes	Time is no match for Toni Morrison	Barack Obama
art	art.html	3	quotes	To see a world in a grain of sand	William Blake
art	art.html	3	quotes	Unbelievable Heroes	John Rogers
art	art.html	3	quotes	The Undisputed Sovereignty of the Human Being	Wynton Marsalis
art	art.html	3	quotes	Vital and Significant Forms of Art	Raymond Chandler
art	art.html	3	quotes	We All Derive From the Same Source	Henry Miller
art	art.html	3	quotes	Why People Sing	Linda Ronstadt
art	art.html	3	quotes	Words that are empowered that make your hair stand on end	Allen Ginsberg
art	art.html	3	quotes	The world is failing precisely because	Richard Powers
balance	balance.html	3	quotes	Balance is Required to Maintain Democracy	Wynton Marsalis
balance	balance.html	3	quotes	A Completely Free Market	Yuval Noah Harari
balance	balance.html	3	quotes	Consistency is the playground of dull minds	Yuval Noah Harari
balance	balance.html	3	quotes	Continually debating people and never winning	Scott Adams
balance	balance.html	3	quotes	Everything had nuance	Celeste Ng
balance	balance.html	3	quotes	A foolish consistency	Ralph Waldo Emerson
balance	balance.html	3	quotes	Fruitful tension	Trygve Throntveit
